efta,file_size_bytes,pages,words
EFTA02730265,70154,3,407
EFTA02730267,527268,4,1284
EFTA02730271,499740,3,798
EFTA02730274,4848480,132,29147
EFTA02730468,49081,1,108
EFTA02730469,70729,2,189
EFTA02730471,63945,0,0
EFTA02730473,235218,5,745
EFTA02730477,278925,3,891
EFTA02730481,81679,3,204
EFTA02730483,104588,2,235
EFTA02730485,42376,1,106
EFTA02730486,13457882,14,2890
EFTA02730741,12399725,76,10580
EFTA02730996,1842775,34,12104
EFTA02731018,445610,6,2375
EFTA02731023,1533189,15,7697
EFTA02731039,1533419,29,5945
EFTA02731069,476299,12,1191
EFTA02731082,7450460,79,29419
EFTA02731168,1948126,29,5719
EFTA02731200,1389567,23,3900
EFTA02731226,2267915,25,7653
EFTA02731254,416958,8,2691
EFTA02731260,22470773,76,10652
EFTA02731341,7230628,11,971
EFTA02731361,5914672,26,2338
EFTA02731393,3506094,14,977
EFTA02731410,1301881,0,0
EFTA02731411,452642,0,0
EFTA02731412,266435,0,0
EFTA02731413,426301,0,0
EFTA02731414,326640,0,0
EFTA02731415,179603,0,0
EFTA02731416,1158383,0,0
EFTA02731417,1212031,0,0
EFTA02731418,1164242,0,0
EFTA02731419,1183054,1,2
EFTA02731420,239215,19,1202
EFTA02731433,9607541,16,790
EFTA02731465,204974,14,1536
EFTA02731473,65550,3,358
EFTA02731475,69064,1,119
EFTA02731477,30008,1,138
EFTA02731478,36595,1,193
EFTA02731479,45563,1,181
EFTA02731480,90541,3,508
EFTA02731482,88239,2,385
EFTA02731484,56598,1,240
EFTA02731485,28903,1,132
EFTA02731486,64575,2,289
EFTA02731488,98555,2,560
EFTA02731490,270609,7,1199
EFTA02731497,2782,0,0
EFTA02731498,2717,0,0
EFTA02731499,2810,0,0
EFTA02731500,5588,0,0
EFTA02731501,250231,5,1032
EFTA02731507,2782,0,0
EFTA02731508,2717,0,0
EFTA02731509,2810,0,0
EFTA02731510,5588,0,0
EFTA02731511,31795,2,290
EFTA02731512,66142,3,418
EFTA02731514,29308,2,248
EFTA02731515,62875,3,412
EFTA02731517,142814,4,704
EFTA02731521,3295135,3,25
EFTA02731524,45386,1,143
EFTA02731525,63081,0,0
EFTA02731526,71290,3,437
EFTA02731528,26504,1,134
EFTA02731529,454584,11,108
EFTA02731552,144106,4,685
EFTA02731556,396285,7,63
EFTA02731576,70416,0,0
EFTA02731577,47728,1,159
EFTA02731578,164439,3,600
EFTA02731582,37480,1,137
EFTA02731583,152740,4,682
EFTA02731587,227900,6,1106
EFTA02731593,328931,6,716
EFTA02731604,93158,5,396
EFTA02731608,94216,3,98
EFTA02731612,66947,1,154
EFTA02731615,40568,1,1
EFTA02731617,28585,1,102
EFTA02731618,123637,4,429
EFTA02731623,279228,4,600
EFTA02731628,82257,2,421
EFTA02731630,204413,2,347
EFTA02731632,23169,1,76
EFTA02731633,112297,3,457
EFTA02731636,42580,1,191
EFTA02731637,32397,1,147
EFTA02731638,54302,3,251
EFTA02731640,142837,3,627
EFTA02731643,44808,0,0
EFTA02731644,54274,2,174
EFTA02731646,56690,3,373
EFTA02731648,97998,3,393
EFTA02731651,135030,3,415
EFTA02731655,200982,4,952
EFTA02731659,40606,1,213
EFTA02731660,95044,2,343
EFTA02731662,603741,13,2294
EFTA02731682,49708,3,294
EFTA02731684,123199,4,506
EFTA02731687,38308,1,187
EFTA02731688,37728,0,0
EFTA02731689,296493,8,1419
EFTA02731697,60237,3,364
EFTA02731699,153153,3,553
EFTA02731703,231151,0,0
EFTA02731704,210831,0,0
EFTA02731705,168840,0,0
EFTA02731706,135989,0,0
EFTA02731707,152952,0,0
EFTA02731708,406737,0,0
EFTA02731709,458266,1,1
EFTA02731710,442859,1,1
EFTA02731711,459723,1,1
EFTA02731712,443238,1,22
EFTA02731713,89660,3,325
EFTA02731715,126287,3,581
EFTA02731718,101154,3,357
EFTA02731721,147876,3,374
EFTA02731724,84823,3,559
EFTA02731726,6579,2,16
EFTA02731727,22529,2,90
EFTA02731728,9098,2,40
EFTA02731729,301348,3,1022
EFTA02731732,42248,1,102
EFTA02731733,45135,1,228
EFTA02731734,70077,1,226
EFTA02731735,96226,1,158
EFTA02731736,39637,1,144
EFTA02731737,632825,8,1350
EFTA02731754,51339,1,102
EFTA02731755,61912,2,191
EFTA02731757,183271,4,649
EFTA02731762,126828,3,573
EFTA02731765,199345,5,633
EFTA02731771,87754,3,389
EFTA02731774,39409,1,121
EFTA02731775,63636,3,367
EFTA02731777,2782,0,0
EFTA02731778,2717,0,0
EFTA02731779,2810,0,0
EFTA02731780,5588,0,0
EFTA02731781,55912,3,289
EFTA02731783,341688,5,904
