efta,sha256
EFTA00008529,4714585b24584905964a81679d7600dbe2d6c785f4c3dd50c2ed30a50794a8da
EFTA00008585,0a0c09b234b58e7d113fa0cf938304c098bfa2e76833015ef0facf100e8ae985
EFTA00008599,b13a360390295f1007de73fff3252570e68a0950295299dc780b8ecffc3a3c10
EFTA00008631,ce91ee3e7e23acd15f1c99eefd0ab9af1fda3fe1d8b5e9e0ea8a66706d3cfbe6
EFTA00008708,4cbf5cf54bd3b1891d4b0d548fbd26e57a2ffecc15c6455ffe632aa8664cdedb
EFTA00008716,6cb4fa1c9774def2aa8e8d01db1f5cf3872574e531287f566e035ab76fe800a2
EFTA00008744,21d04ad612f95aaf22ccc6e89bf073892e23bf2c7dc3413a87dc0c5fbcbe2b07
EFTA00008863,4f29e60129eb5c23a981e2fb848339ef6b86147557e9522dbbfd460386ef2d5f
EFTA00008870,77a6d46dd1b71fb3d7260406bcd1a63f022baa2276b3cc8a8c578b459a3276dc
EFTA00008874,da562b204e8a04a1a9f27b155011cd8b12bc80776231944de7739ad8b3604f92
EFTA00008892,2189bf6a337dcf122e242611998c9561c66e53733ee55d7a0c396d304971215a
EFTA00008920,048de59a937ff6521d3477e37b17cca17e1eb1e5ad93e611d1c4da76c2a459c6
EFTA00008998,4fd76f4c2115739cba74934e6df1274127d4a393daa074731d9602da8f42a97b
